0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:42 +0200] "GET /Proyect/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:42 +0200] "GET /Proyect/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:45 +0200] "POST /Proyect/servletpedido HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:45 +0200] "GET /Proyect/servletpedido?ejecutar=listar HTTP/1.1" 200 39027
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:45 +0200] "GET /Proyect/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:49 +0200] "POST /Proyect/servletpedido HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:49 +0200] "GET /Proyect/servletpedido?ejecutar=listar HTTP/1.1" 200 38539
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:49 +0200] "GET /Proyect/servletUsuar?ejecutar=listar&incial= HTTP/1.1" 200 18721
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:49 +0200] "GET /Proyect/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:01 +0200] "GET /Proyect/servletclient?ejecutarClientes=listar&incial= HTTP/1.1" 200 21192
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:01 +0200] "GET /Proyect/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:03 +0200] "GET /Proyect/servletpedido?ejecutar=listadoPedido&incial= HTTP/1.1" 200 13151
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:03 +0200] "GET /Proyect/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:03 +0200] "GET /Proyect/js/detalleVenta.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:12 +0200] "GET /Proyect/servletpedido?ejecutar=listar HTTP/1.1" 200 38539
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:12 +0200] "GET /Proyect/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:45 +0200] "POST /Proyect/servletpedido HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:45 +0200] "GET /Proyect/servletpedido?ejecutar=listar HTTP/1.1" 200 39107
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:45 +0200] "GET /Proyect/alerta/alertify.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:45 +0200] "GET /Proyect/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:45 +0200] "GET /Proyect/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:45 +0200] "GET /Proyect/alerta/themes/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:45 +0200] "GET /Proyect/alerta/alertify.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:45 +0200] "GET /Proyect/popper/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:45 +0200] "GET /Proyect/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:45 +0200] "GET /Proyect/jquery/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:45 +0200] "GET /Proyect/datatables/JSZip-2.5.0/jszip.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:45 +0200] "GET /Proyect/datatables/Buttons-1.5.6/js/dataTables.buttons.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:45 +0200] "GET /Proyect/datatables/pdfmake-0.1.36/pdfmake.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:45 +0200] "GET /Proyect/datatables/pdfmake-0.1.36/vfs_fonts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:45 +0200] "GET /Proyect/datatables/datatables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:45 +0200] "GET /Proyect/datatables/Buttons-1.5.6/js/buttons.html5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:45 +0200] "GET /Proyect/image/usuario.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:45 +0200] "GET /Proyect/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:52 +0200] "GET /Proyect/servletpedido?ejecutar=ejecutarVenta&productoId=1&accion=eliminarProducto HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:52 +0200] "GET /Proyect/servletpedido?ejecutar=listar HTTP/1.1" 200 38539
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:52 +0200] "GET /Proyect/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:58 +0200] "POST /Proyect/servletpedido HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:58 +0200] "GET /Proyect/servletpedido?ejecutar=listar HTTP/1.1" 200 38539
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:58 +0200] "GET /Proyect/servletdashboa HTTP/1.1" 200 8347
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:58 +0200] "GET /Proyect/css/estilos.css HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:58 +0200] "GET /Proyect/image/programador.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:58 +0200] "GET /Proyect/image/kyc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:43:58 +0200] "GET /Proyect/image/productos.png HTTP/1.1" 304 -
